reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
67,75,119,0,0,0,5,22.160872599983122,22.160872599983122,22.160872599983122,23.1644004000118,t,4.563438599987421,538791,001,2022-10-21_12h03.53.024,Tutorial 06 JemimaR,2022.2.4,60.11537342840014,
15,35,13,0,1,1,1,26.748268599971198,27.747923400020227,27.747923400020227,27.747923400020227,l,1.6135096999933012,538791,001,2022-10-21_12h03.53.024,Tutorial 06 JemimaR,2022.2.4,60.11537342840014,
49,60,89,0,2,2,4,29.38983429997461,30.381386299966834,30.381386299966834,30.398209300008602,t,1.7964405000093393,538791,001,2022-10-21_12h03.53.024,Tutorial 06 JemimaR,2022.2.4,60.11537342840014,
27,50,21,0,3,3,2,32.19830669998191,33.19788029999472,33.19788029999472,33.19788029999472,l,4.309059899998829,538791,001,2022-10-21_12h03.53.024,Tutorial 06 JemimaR,2022.2.4,60.11537342840014,
78,80,162,0,4,4,6,37.531108199968,38.531153699965216,38.531153699965216,38.531153699965216,t,3.358786400000099,538791,001,2022-10-21_12h03.53.024,Tutorial 06 JemimaR,2022.2.4,60.11537342840014,
11,30,7,0,5,5,0,41.914565599989146,42.914512099989224,42.914512099989224,42.914512099989224,l,3.261946499987971,538791,001,2022-10-21_12h03.53.024,Tutorial 06 JemimaR,2022.2.4,60.11537342840014,
40,55,62,0,6,6,3,46.19832189998124,47.19796399999177,47.19796399999177,47.19796399999177,l,3.789325999969151,538791,001,2022-10-21_12h03.53.024,Tutorial 06 JemimaR,2022.2.4,60.11537342840014,
